,id,overview,genres,Action,Comedy,Drama,Thriller,Romance
4792,84334, south africans set  discover  happen  unlikely musical hero  mysterious  rock n roller rodriguez  film  good documentary  th academy award,Documentary|Music,0,0,0,0,0
9906,24229,surprise  contract victim  try  run away  professional hit man try  find  hire  why,Crime|Drama|Mystery,0,0,1,0,0
5061,10943,cassie grant christina ricci  young girl  united states  wander  england  foot  way  ashby wake cassie  hit  car  driver  car mrs marion kirkman kerry fox immediately call  ambulance  examination  local hospital  doctor come  conclusion  cassie  scratch  even  concussion  cassie  lose  memory due  accident  know  name  mother country  know  town  come  family  england,Horror|Thriller,0,0,0,1,0
9354,13888, sequel  classic  child  strand  beautiful island  south pacific  adult  guide  make  simple life together  eventually become tan teenager  love,Drama|Adventure|Romance,0,0,1,0,1
4696,103370, wall street investment banker  set  linchpin  company mob back ponzi scheme  relocate  family  aunt madeas southern home,Drama|Comedy|Crime,0,1,1,0,0
247,333596,love  unity  school tear  racism  hate  s,Drama,0,0,1,0,0
5156,20210, skater follow  idol  summer tour  attempt  get notice get sponsor  become star themselves,Action|Comedy|Family,1,1,0,0,0
2900,12162,force  play  dangerous game  cat  mouse  chaos  war  elite army bomb squad unit must come together  city  everyone  potential enemy  every object could  deadly bomb,Drama|Thriller|War,0,0,1,1,0
1982,27586,joan jett  cherie currie  rebellious teenager  southern california become  frontwoman  runaway  legendary group  pave  way  future generation  female rocker  svengalilike influence  impresario kim fowley  band become  huge success,Drama|Music,0,0,1,0,0
9694,13703, college freshman return  los angeles  holiday  ex girlfriend request  discover  former good friend  control drug habit,Drama|Crime|Romance,0,0,1,0,1
10160,24452,black comedy  young man  create  carnivorous plant  must kill  order  feed it,Comedy,0,1,0,0,0
199,301846, passenger  train  attack  creature  must band together  order  survive  morning,Horror,0,0,0,0,0
4803,111349, night  live tour  dvd release  british irish boy band  direction  release  video concert dvd  record  part  direction  night tour  international centre  bournemouth include song  multi platinum debut album  night  cover include  get  feel stereo heart valerie tear  use somebody,Music|Documentary,0,0,0,0,0
485,354857, save  universe  friendship mordecai  rigby must defeat  evil volleyball coach,Comedy|TV Movie|Animation|Science Fiction,0,1,0,0,0
2879,217,set  cold war  soviet  lead  sword wield irina spalko  search  crystal skull  supernatural power relate  mystical lost city  gold  capture  escape  indy  coerce  head  peru  behest  young man whose friend  indys colleague  professor oxley  capture  knowledge  skull whereabout,Adventure|Action,1,0,0,0,0
7416,1267, animate adventure brilliant preteen inventor lewis create  memory scanner  retrieve  early recollection  find  mother give  adoption  villainous bowler hat guy steal  machine lewis  ready  give  qu  mysterious wilbur robinson show  scene whisk lewis  future  find  scanner  mom,Animation|Comedy|Family,0,1,0,0,0
8743,15655, happen everybody  pooh piglet eeyore roo rabbit owl  busy prepare  suitable winter home  eeyore  everything  seem  get undo  tigger exuberant bounce rabbit suggest tigger go outside  find  tigger  bounce  notion tigger find ridiculous  he s  onli  he,Animation|Family,0,0,0,0,0
9388,44909, college teacher bring  little creature back  campus  proceed  terrorize  faculty  student,Fantasy|Drama|Horror|Action|Comedy,1,1,1,0,0
2823,1722, greek fisherman leave  fight  greek army  wwii  fiancee fall  love  local italian commander  film  base  novel  italian soldier experience  italian occupation  greek island  cephalonia kefalonia  hollywood make  pure love story  remove much  unpleasant stuff,Drama|History|Romance,0,0,1,0,1
455,373558,taylor deliver  concert event  year film  sydney anz stadium  front  fan  world tour  live capture  excitement  energy  hot pop star  world fill  great music  electrifying stage show  superstar guest appearance  concert film  apple music,Documentary|Music,0,0,0,0,0
10648,10112, madame adelaide bonfamille leave  fortune  duchess  child  bonfamille prize family  domesticate house cat  butler plot  steal  money  kidnap  heir leave  country road  seem lose  wily thomas omalley cat  jazz play alley cat come  aristocatss rescue,Animation|Comedy|Family|Adventure,0,1,0,0,0
9606,10673, young  impatient stockbroker  willing  anything  get  top include trading  illegal inside information take  ruthless  greedy corporate raider  take  youth  wing,Crime|Drama,0,0,1,0,0
3245,63315,nate move  l  track  cristabel  woman he s  love  since childhood  discover  plan  woo  hurdle  overcome  june cristabel ever present  hot good friend  even  complicate  nate grow feeling  june whose true beauty start  emerge,Comedy|Romance,0,1,0,0,1
7763,20224, summer  group  teenager  interconnect narrative live  last day  high school  prepare  future holly  new girl  school  whatever  take  remain popular dawn  secretly  lesbian battle drug tori  valedictorian  class  eve  graduation  decide  experiment  drug  first time,Comedy|Drama,0,1,1,0,0
1721,19458, princess rosalinda  become queen  country  costa luna  country  invade  evil dictator  put  princess protection program  secret organization fund  royal family  look  endanger princess rosalinda  take  wing  mason verica  agent  ppp  rural louisiana  meet  daughter,Comedy|Drama|Family,0,1,1,0,0
7412,13885, infamous story  benjamin barker  k  sweeney todd  set  barber shop  london  basis  sinister partnership  fellow tenant mrs lovett base  hit broadway musical,Drama|Horror|Music,0,0,1,0,0
6156,11893, harden convict  young prisoner escape  brutal prison  middle  winter  find  control train  female railway worker  pursue  vengeful head  security,Action|Thriller,1,0,0,1,0
6750,5072,member danny dyer laura harris tim mcinnerny  palisade defense corp sale group arrive  europe  team building exercise  fall tree block  route  must hike  destination  psychotic killer lurk  wood  horrible fate  mind  co worker,Horror|Comedy|Thriller,0,1,0,1,0
8897,150, hard nosed cop reluctantly team  wise crack criminal temporarily parole  order  track  killer,Thriller|Action|Comedy|Crime|Drama,1,1,1,1,0
2794,2171, set  camp firewood  year  last day  everyone go back  real world  still  summer worth  unfinished business  resolve  center  action  camp director beth  struggle  keep order  fall  love  local astrophysic professor  busy try  save  camp  deadly piece  nasa skylab  hurtle toward earth  plus  dangerous waterfall rescue love triangle misfit cool kid  talk vegetable can  question  resolve  course  big talent show  end  day,Comedy,0,1,0,0,0
10796,46878,scientist dr bradford crane  army general thalius slater join force  fight  almost invisible enemy threaten america  killer bee  deadly venom  attack without reason disaster movie master irwin allens film contain spectacular special effect include  train crash cause  eponymous swarm,Action|Drama|Horror|Science Fiction,1,0,1,0,0
6929,13771,maurice  age veteran actor  becomes absolutely take  jessie  grandniece  close friend  maurice try  soften  petulant  provincial young girl  benefit  wisdom  london culture  give  take surprise  maurice  jessie  discover  know  themselves,Drama|Comedy|Romance,0,1,1,0,1
524,244563, massive city  tokyo kumiko  twenty  year old life  utter solitude  work  dreadful dead end job  awful boss  intimidate  well  peer  nag incessantly  overbearing mother  exasperate  fact  daughter  marry  even  relationship  joy  life come  grainy vhs tape  american film  man burie  satchel  money  snowy midwestern plain  belove pet rabbit bunzo kumiko  somehow convinced  treasure  real  obsess  discovery  hand stitch treasure map  quixotic spirit kumiko embark  incredible journey  pacific  frozen minnesota wilderness  uncover  purport fortune,Drama,0,0,1,0,0
862,244517, boozy lowlife philip seymour hoffman try  bury  truth  crazy stepson suspicious death  nosy newspaper columnist richard jenkins  young mans mother complicate matter,Drama,0,0,1,0,0
2094,46441, max  recover  traumatic accident take  job  nighttime security guard  begin  see vision  young mysterious woman  store mirror,Horror|Mystery|Thriller,0,0,0,1,0
947,241771, talente young musician  brink  super stardom struggle  pressure  new find success,Drama,0,0,1,0,0
